id,date,publication,author,headline,items
1421,2021-07-21,The Indian Express,Author,Breach of a  sovereign right,"retrospective tax, arbitration"
1422,2021-07-23,The Hindu Business Line,Bureau,"Suits by Cairn, Devas abroad unlikely to affect AI divestment","Cairn Energy, arbitration"
1423,2021-07-23,The Financial Express,Bureau,Financial bids for Air India by Sept 15,"Cairn Energy, arbitration"
1424,2021-07-23,The Times Of India,Bureau,Financial bids for Air India expected by mid-Sept: Govt,"Cairn Energy, arbitration"
1425,2021-07-23,The Times Of India,Bureau,Fin bids for AI likely by mid-Sept.,"Cairn Energy, arbitration"
1426,2021-07-24,Business Standard, Subhomoy Bhattacharjee ,Videocons assets & IBC,arbitration
1427,2021-07-24,Business Standard, SUBH0M0Y BHATTACHARJEE,Videocon's assets & IBC.,arbitration
1428,2021-07-24,The Pioneer,Author,Cairn looking for arbitration money?,"Cairn Energy, retrospective tax, arbitration"
1429,2021-07-28,The Free Press Journal,Agencies,French court ordered freeze of Indian assets,"Cairn Energy, retro tax, arbitration"
1430,2021-07-28,Mint,Bureau,Govt confirms Cairn secured order to freeze Indian assets,"Cairn Energy, arbitration"
1431,2021-07-28,Business Standard,PTI,Cairn dispute: Govt confirms French court order on assets,"Cairn Energy, retro tax, arbitration"
1432,2021-07-28,The Statesman,PTI,Cairn arbitration: Government confirms French court order against Indian assets,"Cairn Energy, retro tax, arbitration"
1433,2021-07-28,The Economic Times,Bureau,Cairn Case: Govt Confirms French Court Order to Freeze Indian Assets,"Cairn Energy, arbitration"
1434,2021-07-28,The Times Of India,Bureau,Govt confirms French court order against Indian assets,"Cairn Energy, retro tax, arbitration"
1435,2021-07-28,Millennium Post,Bureau,Govt confirms French court order against Indian assets,"Cairn Energy, retro tax, arbitration"
1436,2021-07-28,Hindustan Times,Bureau,Cairn arbitration: Freeze order on assets confirmed,"Cairn Energy, arbitration"
1437,2021-07-28,The Financial Express,Bureau,Cairn case: Govt confirms French court order to freeze Indian assets,"Cairn Energy, retrospective tax, arbitration"
1438,2021-07-28,OHeraldo,PTI,Cairn arbitration: Govt confirms French court order against Indian assets,"Cairn Energy, retro tax, arbitration"
1439,2021-07-28,The Navhind Times,PTI,Govt confirms French court order against Indian assets,"Cairn Energy, retro tax, arbitration"
1440,2021-07-28,Hindustan Times,PTI,Cairn arbitration: Freeze order on assets confirmed.,"Cairn Energy, retro tax, arbitration"
1441,2021-07-28,Free Press,Agencies,French court ordered freeze of Indian assets,"Cairn Energy, retro tax, arbitration"
1442,2021-08-02,The Free Press Journal,Bureau,Spore court to hear govt appeal in Voda case in Sept,"Cairn Energy, arbitration"
1443,2021-08-02,The Financial Express,PTI,Indias appeal against Voda arbitration award in Sept,"Cairn Energy, arbitration"
1444,2021-08-02,The Statesman,PTI,Govt's appeal against Vodafone arbitration award in senior court,"Cairn Energy, arbitration"
1445,2021-08-02,The Financial Express,Bureau,Govt confirms French order against assets in Cairn case,"Cairn Energy, retro tax, arbitration"
1446,2021-08-02,Hindustan Times,PTI,Voda arbitration case moved to Spore court,"Cairn Energy, retrospective tax, arbitration"
1447,2021-08-02,Hindustan Times,Bureau,Voda arbitration case shifted to a higher court,arbitration
1448,2021-08-02,Mint,PTI,Indias appeal against Vodafone award moves to a senior court,"Cairn Energy, retrospective tax, arbitration"
1449,2021-08-02,Millennium Post,Bureau,"Indias plea against verdict in senior court, hearing in Sept","Cairn Energy, retrospective tax, arbitration"
1450,2021-08-02,Free Press,Bureau,Spore court to hear govt appeal in Voda case in Sept,"Cairn Energy, arbitration"
1451,2021-08-03,Millennium Post,Correspondent,Govt says no formal proposal from Cairn to settle dispute,"Cairn Energy, arbitration"
1452,2021-08-03,The Hindu,PTI,No formal proposal from Cairn to settle dispute,"Cairn Energy, arbitration"
1453,2021-08-03,The Free Press Journal,Bureau,Govt says no formal proposal from Cairn Energy to settle dispute,"Cairn Energy, arbitration"
1454,2021-08-03,Mint,Bureau,No proposal from Cairn to settle dispute: govt,"Cairn Energy, arbitration"
1455,2021-08-03,The Financial Express,Bureau,No proposal from Cairn to settle tax dispute: Govt,"Cairn Energy, arbitration"
1456,2021-08-03,The Economic Times,Bureau,No Proposal from Cairn Energy for Tax Dispute Settlement: FinMin,"Cairn Energy, arbitration"
